league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,away_points,away_expected_points,away_goals,away_xg,away_np_xg,away_np_xg_difference,away_ppda,away_deep_completions,home_points,home_expected_points,home_goals,home_xg,home_np_xg,home_np_xg_difference,home_ppda,home_deep_completions,home_possession,home_formation,home_opp_formation,away_possession,away_formation,away_opp_formation
3,2021,17768,2022-04-09 13:30:00,267,130,Greuther Furth,Borussia Monchengladbach,BMG,GRE,3,2.8491,2,3.48459,2.72681,2.074975,15.65,10,0,0.0998999999999999,0,0.651835,0.651835,-2.074975,10.482758620689657,5,0.5,03/04/2003,03/04/2003,0.5,03/04/2003,03/04/2003
3,2021,17770,2022-04-09 13:30:00,134,125,Koln,Mainz,MAI,COL,0,0.5718000000000001,2,0.926438,0.926438,-0.979322,6.5588235294117645,4,3,2.211,3,1.90576,1.90576,0.979322,6.782608695652174,3,0.53,4-2-3-1,03/04/2003,0.47,03/04/2003,4-2-3-1
3,2021,17774,2022-04-09 13:30:00,131,262,Wolfsburg,Arminia Bielefeld,ARM,WOL,0,0.2784999999999999,0,0.476945,0.476945,-1.514065,15.0,0,3,2.5645,4,1.99101,1.99101,1.514065,13.043478260869565,11,0.53,03/04/2003,4-2-3-1,0.47,4-2-3-1,03/04/2003
3,2021,17776,2022-04-09 13:30:00,117,121,Bayern Munich,Augsburg,AUG,BAY,0,0.3359999999999999,0,0.277271,0.277271,-0.396403,15.26923076923077,5,3,2.4594000000000005,1,1.43145,0.673674,0.396403,7.8,14,0.68,4-2-3-1,04/04/2002,0.32,04/04/2002,4-2-3-1
3,2021,17771,2022-04-09 16:30:00,122,240,Hertha Berlin,Union Berlin,UNI,HER,3,2.1549,4,1.85412,1.85412,0.99955,14.947368421052632,2,0,0.6264,1,0.85457,0.85457,-0.99955,16.142857142857142,2,0.53,4-1-4-1,3-1-4-2,0.47,3-1-4-2,4-1-4-1
3,2021,17769,2022-04-10 13:30:00,268,119,Bochum,Bayer Leverkusen,LEV,BOC,1,1.5289,0,1.21928,0.461501,-0.590309,13.533333333333331,7,1,1.1467,0,1.05181,1.05181,0.590309,15.947368421052632,3,0.41,4-2-3-1,4-2-3-1,0.59,4-2-3-1,4-2-3-1
3,2021,17773,2022-04-10 15:30:00,132,135,Eintracht Frankfurt,Freiburg,FRE,EIN,3,1.6513,2,1.46109,1.46109,0.3619399999999999,11.68421052631579,10,0,1.0633,1,1.09915,1.09915,-0.3619399999999999,8.478260869565217,3,0.53,03/04/2003,4-4-1-1,0.47,4-4-1-1,03/04/2003
3,2021,17775,2022-04-10 17:30:00,136,120,RB Leipzig,Hoffenheim,HOF,RBL,0,0.239,0,0.171037,0.171037,-1.440373,8.675675675675675,4,3,2.6006,3,1.61141,1.61141,1.440373,19.133333333333333,8,0.51,03/04/2003,3-4-1-2,0.49,3-4-1-2,03/04/2003
3,2021,17778,2022-04-16 13:30:00,121,122,Augsburg,Hertha Berlin,HER,AUG,3,2.085,1,1.6343,1.6343,0.8568060000000001,10.75,2,0,0.666,0,0.777494,0.777494,-0.8568060000000001,4.428571428571429,5,0.59,04/04/2002,04/04/2002,0.41,04/04/2002,04/04/2002
3,2021,17779,2022-04-16 13:30:00,125,133,Mainz,Stuttgart,STU,MAI,1,1.2234,0,0.633775,0.633775,-0.089249,7.857142857142857,6,1,1.3779,0,0.723024,0.723024,0.089249,5.861111111111111,1,0.47,05/03/2002,04/03/2003,0.53,04/03/2003,05/03/2002
